year,state_abbr,type,population,incidents,unemp
1992,IN,homicide,5662000,464,0.065
1992,KS,homicide,2523000,151,0.045
1992,KY,homicide,3755000,216,0.069
1992,LA,homicide,4287000,747,0.08
1992,MA,homicide,5998000,214,0.085
1992,MD,homicide,4908000,596,0.068
1992,ME,homicide,1235000,21,0.073
1992,MI,homicide,9437000,938,0.09
1992,MN,homicide,4480000,150,0.051
1992,MO,homicide,5193000,547,0.062
1992,MT,homicide,824000,24,0.067
1992,NC,homicide,6843000,723,0.061
1992,ND,homicide,636000,12,0.048
1992,NE,homicide,1606000,68,0.029
1992,NH,homicide,1111000,18,0.073
1992,NJ,homicide,7789000,397,0.084
1992,NM,homicide,1581000,141,0.072
1992,NV,homicide,1327000,145,0.067
1992,NY,homicide,18119000,2397,0.086
1992,OH,homicide,11016000,724,0.074
1992,OK,homicide,3212000,210,0.06
1992,OR,homicide,2977000,139,0.074
1992,PA,homicide,12009000,746,0.076
1992,RI,homicide,1005000,36,0.089
1992,SC,homicide,3603000,373,0.067
1992,SD,homicide,711000,4,0.033
1992,TN,homicide,5024000,520,0.065
1992,TX,homicide,17656000,2239,0.076
1992,UT,homicide,1813000,54,0.049
1992,VA,homicide,6377000,564,0.063
1992,VT,homicide,570000,12,0.061
1992,WA,homicide,5136000,258,0.073
1992,WI,homicide,5007000,218,0.051
1992,WV,homicide,1812000,115,0.113
1992,WY,homicide,466000,17,0.056
1993,AK,homicide,599000,54,0.077
1993,AL,homicide,4187000,484,0.073
1993,AR,homicide,2424000,247,0.062
1993,AZ,homicide,3936000,339,0.064
1993,CA,homicide,31211000,4096,0.095
1993,CO,homicide,3566000,206,0.053
1993,CT,homicide,3277000,206,0.066
1993,DC,homicide,578000,454,0.085
1993,DE,homicide,700000,35,0.05
1993,FL,homicide,13679000,1224,0.071
1993,GA,homicide,6917000,789,0.06
1993,HI,homicide,1172000,45,0.045
1993,IA,homicide,2814000,66,0.041
1993,ID,homicide,1099000,32,0.06
1993,IL,homicide,11697000,1332,0.074
1993,IN,homicide,5713000,430,0.054
1993,KS,homicide,2531000,161,0.05
1993,KY,homicide,3789000,249,0.062
1993,LA,homicide,4295000,874,0.076
1993,MA,homicide,6012000,233,0.07
1993,MD,homicide,4965000,632,0.062
1993,ME,homicide,1239000,20,0.073
1993,MI,homicide,9478000,933,0.072
1993,MN,homicide,4517000,155,0.05
1993,MO,homicide,5234000,590,0.062
1993,MT,homicide,839000,25,0.061
1993,NC,homicide,6945000,785,0.05
1993,ND,homicide,635000,11,0.043
1993,NE,homicide,1607000,63,0.028
1993,NH,homicide,1125000,23,0.062
1993,NJ,homicide,7879000,418,0.076
1993,NM,homicide,1616000,130,0.07
1993,NV,homicide,1389000,144,0.069
1993,NY,homicide,18197000,2420,0.079
1993,OH,homicide,11091000,667,0.066
1993,OK,homicide,3231000,273,0.059
1993,OR,homicide,3032000,140,0.07
1993,PA,homicide,12048000,823,0.07
1993,RI,homicide,1000000,39,0.077
1993,SC,homicide,3643000,377,0.073
1993,SD,homicide,715000,24,0.034
1993,TN,homicide,5099000,521,0.058
1993,TX,homicide,18031000,2147,0.072
1993,UT,homicide,1860000,58,0.041
1993,VA,homicide,6491000,539,0.052
1993,VT,homicide,576000,21,0.052
