YrSt_ID,population,population_unemp,violent_crime,Unemp_Yr_Avg
1990 - NH,1109252,63227.0,1459,5.7
1990 - NJ,7730188,394240.0,50057,5.1
1990 - NM,1515069,99995.0,11821,6.6
1990 - NV,1201833,56486.0,7222,4.7
1990 - NY,17990455,953494.0,212458,5.3
1990 - OH,10847115,607438.0,54904,5.6
1990 - OK,3145585,179298.0,17222,5.7
1990 - OR,2842321,156328.0,14405,5.5
1990 - PA,11881643,653490.0,51213,5.5
1990 - RI,1003464,64222.0,4334,6.4
1990 - SC,3486703,167362.0,34050,4.8
1990 - SD,696004,26448.0,1133,3.8
1990 - TN,4877185,258491.0,32698,5.3
1990 - TX,16986510,1070150.0,129343,6.3
1990 - UT,1722850,75805.0,4892,4.4
1990 - VA,6187358,278431.0,21694,4.5
1990 - VT,562758,28138.0,716,5.0
1990 - WA,4866692,253068.0,24410,5.2
1990 - WI,4891769,215238.0,12948,4.4
1990 - WV,1793477,152446.0,3036,8.5
1990 - WY,453588,24040.0,1367,5.3
1991 - AK,570000,48450.0,3499,8.5
1991 - AL,4089000,298497.0,34518,7.3
1991 - AR,2372000,175528.0,14072,7.4
1991 - AZ,3750000,221250.0,25152,5.9
1991 - CA,30380000,2339260.0,331122,7.7
1991 - CO,3377000,175604.0,18887,5.2
1991 - CT,3291000,213915.0,17761,6.5
1991 - DC,598000,46644.0,14671,7.8
1991 - DE,680000,42160.0,4857,6.2
1991 - FL,13277000,995775.0,157243,7.5
1991 - GA,6623000,344396.0,48894,5.2
1991 - HI,1135000,32915.0,2744,2.9
1991 - IA,2795000,131365.0,8477,4.7
1991 - ID,1039000,64418.0,3016,6.2
1991 - IL,11543000,831096.0,119955,7.2
1991 - IN,5610000,336600.0,28349,6.0
1991 - KS,2495000,109780.0,12465,4.4
1991 - KY,3713000,271049.0,16262,7.3
1991 - LA,4252000,310396.0,40438,7.3
1991 - MA,5996000,515656.0,44138,8.6
1991 - MD,4860000,296460.0,46469,6.1
1991 - ME,1235000,92625.0,1631,7.5
1991 - MI,9368000,861856.0,75232,9.2
1991 - MN,4432000,230464.0,14006,5.2
1991 - MO,5158000,340428.0,39358,6.6
1991 - MT,808000,55752.0,1130,6.9
1991 - NC,6737000,390746.0,44355,5.8
1991 - ND,635000,27940.0,415,4.4
1991 - NE,1593000,43011.0,5330,2.7
1991 - NH,1105000,80665.0,1318,7.3
1991 - NJ,7760000,519920.0,49257,6.7
1991 - NM,1548000,109908.0,12922,7.1
1991 - NV,1284000,74472.0,8693,5.8
1991 - NY,18058000,1300176.0,210184,7.2
1991 - OH,10939000,711035.0,61460,6.5
1991 - OK,3175000,200025.0,18533,6.3
1991 - OR,2922000,187008.0,14795,6.4
1991 - PA,11961000,849231.0,53824,7.1
1991 - RI,1004000,86344.0,4638,8.6
1991 - SC,3560000,217160.0,34621,6.1
1991 - SD,703000,24605.0,1281,3.5
1991 - TN,4953000,331851.0,35955,6.7
1991 - TX,17349000,1197081.0,145743,6.9
1991 - UT,1770000,83190.0,5077,4.7
1991 - VA,6286000,370874.0,23459,5.9
1991 - VT,567000,37422.0,662,6.6
1991 - WA,5018000,316134.0,26224,6.3
1991 - WI,4955000,272525.0,13723,5.5
1991 - WV,1801000,192707.0,3440,10.7
1991 - WY,460000,23920.0,1427,5.2
1992 - AK,587000,52243.0,3877,8.9
1992 - AL,4136000,314336.0,36052,7.6
1992 - AR,2399000,170329.0,13831,7.1
