YrSt_ID,population,robbery,Unemp_Yr_Avg
1990 - DC,606900,7365,6.3
1990 - DE,666168,1098,4.7
1990 - FL,12937926,53928,6.1
1990 - GA,6478216,17067,5.5
1990 - HI,1108229,1013,2.7
1990 - IA,2776755,1089,4.4
1990 - ID,1006749,151,5.5
1990 - IL,11430602,45038,6.1
1990 - IN,5544159,5619,5.3
1990 - KS,2477574,2914,4.3
1990 - KY,3685296,2545,6.0
1990 - LA,4219973,11387,6.2
1990 - MA,6016425,13062,6.3
1990 - MD,4781468,17394,4.5
1990 - ME,1227928,308,5.3
1990 - MI,9295297,21752,7.6
1990 - MN,4375099,4057,4.8
1990 - MO,5117073,11073,5.8
1990 - MT,799065,173,6.0
1990 - NC,6628637,10082,4.1
1990 - ND,638800,50,4.0
1990 - NE,1578385,807,2.4
1990 - NH,1109252,302,5.7
1990 - NJ,7730188,23269,5.1
1990 - NM,1515069,1744,6.6
1990 - NV,1201833,2864,4.7
1990 - NY,17990455,112380,5.3
1990 - OH,10847115,20451,5.6
1990 - OK,3145585,3836,5.7
1990 - OR,2842321,4102,5.5
1990 - PA,11881643,20930,5.5
1990 - RI,1003464,1224,6.4
1990 - SC,3486703,5313,4.8
1990 - SD,696004,86,3.8
1990 - TN,4877185,9325,5.3
1990 - TX,16986510,44297,6.3
1990 - UT,1722850,980,4.4
1990 - VA,6187358,7626,4.5
1990 - VT,562758,66,5.0
1990 - WA,4866692,6326,5.2
1990 - WI,4891769,5514,4.4
1990 - WV,1793477,680,8.5
1990 - WY,453588,72,5.3
1991 - AK,570000,645,8.5
1991 - AL,4089000,6246,7.3
1991 - AR,2372000,3217,7.4
1991 - AZ,3750000,6215,5.9
1991 - CA,30380000,124939,7.7
1991 - CO,3377000,3628,5.2
1991 - CT,3291000,7384,6.5
1991 - DC,598000,7269,7.8
1991 - DE,680000,1460,6.2
1991 - FL,13277000,53083,7.5
1991 - GA,6623000,17762,5.2
1991 - HI,1135000,986,2.9
1991 - IA,2795000,1257,4.7
1991 - ID,1039000,215,6.2
1991 - IL,11543000,52653,7.2
1991 - IN,5610000,6506,6.0
1991 - KS,2495000,3453,4.4
1991 - KY,3713000,3084,7.3
1991 - LA,4252000,11860,7.3
1991 - MA,5996000,11669,8.6
1991 - MD,4860000,19783,6.1
1991 - ME,1235000,280,7.5
1991 - MI,9368000,22790,9.2
1991 - MN,4432000,4345,5.2
1991 - MO,5158000,12952,6.6
1991 - MT,808000,150,6.9
1991 - NC,6737000,11990,5.8
1991 - ND,635000,51,4.4
1991 - NE,1593000,861,2.7
1991 - NH,1105000,365,7.3
1991 - NJ,7760000,22744,6.7
1991 - NM,1548000,1862,7.1
1991 - NV,1284000,4012,5.8
1991 - NY,18058000,112342,7.2
1991 - OH,10939000,23536,6.5
1991 - OK,3175000,4094,6.3
1991 - OR,2922000,4387,6.4
1991 - PA,11961000,23191,7.1
1991 - RI,1004000,1234,8.6
1991 - SC,3560000,6092,6.1
1991 - SD,703000,132,3.5
1991 - TN,4953000,10543,6.7
1991 - TX,17349000,49700,6.9
1991 - UT,1770000,976,4.7
1991 - VA,6286000,8651,5.9
1991 - VT,567000,67,6.6
1991 - WA,5018000,7303,6.3
1991 - WI,4955000,5895,5.5
1991 - WV,1801000,779,10.7
1991 - WY,460000,79,5.2
1992 - AK,587000,640,8.9
1992 - AL,4136000,6819,7.6
1992 - AR,2399000,3011,7.1
1992 - AZ,3832000,5867,7.5
1992 - CA,30867000,130897,9.3
1992 - CO,3470000,4180,6.0
1992 - CT,3281000,6918,7.5
1992 - DC,589000,7459,8.6
1992 - DE,689000,1042,5.4
1992 - FL,13488000,49482,8.2
1992 - GA,6751000,16863,6.9
1992 - HI,1160000,1151,4.3
1992 - IA,2812000,1113,4.5
1992 - ID,1067000,229,6.4
1992 - IL,11631000,47973,7.9
1992 - IN,5662000,6921,6.5
1992 - KS,2523000,3277,4.5
1992 - KY,3755000,3273,6.9
1992 - LA,4287000,11636,8.0
1992 - MA,5998000,11059,8.5
1992 - MD,4908000,21054,6.8
1992 - ME,1235000,288,7.3
1992 - MI,9437000,20902,9.0
1992 - MN,4480000,4906,5.1
1992 - MO,5193000,11783,6.2
1992 - MT,824000,222,6.7
1992 - NC,6843000,12784,6.1
1992 - ND,636000,50,4.8
1992 - NE,1606000,911,2.9
1992 - NH,1111000,367,7.3
1992 - NJ,7789000,22216,8.4
1992 - NM,1581000,2202,7.2
1992 - NV,1327000,4397,6.7
1992 - NY,18119000,108154,8.6
1992 - OH,11016000,21925,7.4
1992 - OK,3212000,4376,6.0
1992 - OR,2977000,4507,7.4
1992 - PA,12009000,21701,7.6
1992 - RI,1005000,950,8.9
1992 - SC,3603000,6148,6.7
1992 - SD,711000,120,3.3
1992 - TN,5024000,10964,6.5
1992 - TX,17656000,44588,7.6
1992 - UT,1813000,1014,4.9
1992 - VA,6377000,8787,6.3
1992 - VT,570000,51,6.1
1992 - WA,5136000,7178,7.3
1992 - WI,5007000,5997,5.1
1992 - WV,1812000,788,11.3
1992 - WY,466000,84,5.6
1993 - AK,599000,733,7.7
1993 - AL,4187000,6677,7.3
1993 - AR,2424000,3027,6.2
1993 - AZ,3936000,6412,6.4
1993 - CA,31211000,126436,9.5
1993 - CO,3566000,4160,5.3
1993 - CT,3277000,6447,6.6
1993 - DC,578000,7107,8.5
1993 - DE,700000,1307,5.0
1993 - FL,13679000,48913,7.1
1993 - GA,6917000,17154,6.0
1993 - HI,1172000,1214,4.5
1993 - IA,2814000,1517,4.1
1993 - ID,1099000,186,6.0
1993 - IL,11697000,44584,7.4
1993 - IN,5713000,6845,5.4
1993 - KS,2531000,3128,5.0
1993 - KY,3789000,3425,6.2
1993 - LA,4295000,12182,7.6
1993 - MA,6012000,10563,7.0
1993 - MD,4965000,21582,6.2
1993 - ME,1239000,264,7.3
1993 - MI,9478000,22601,7.2
1993 - MN,4517000,5092,5.0
1993 - MO,5234000,12654,6.2
1993 - MT,839000,272,6.1
1993 - NC,6945000,13364,5.0
1993 - ND,635000,53,4.3
1993 - NE,1607000,1003,2.8
1993 - NH,1125000,307,6.2
1993 - NJ,7879000,23319,7.6
1993 - NM,1616000,2237,7.0
1993 - NV,1389000,4724,6.9
1993 - NY,18197000,102122,7.9
1993 - OH,11091000,21373,6.6
1993 - OK,3231000,3935,5.9
1993 - OR,3032000,3930,7.0
1993 - PA,12048000,21563,7.0
1993 - RI,1000000,1011,7.7
1993 - SC,3643000,6825,7.3
