Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP20006931,"Mar 6, 2020, 2:50:16 PM","Mar 6, 2020, 2:50:16 PM",261 (A)(2) PC,261 (A)(2) PC RAPE BY FORCE/FEAR/ETC 02a. Rape 1375,1005 BOBCAT CT,MODESTO,CALIFORNIA,95358,-121.0333682,37.64836202,0,0,0,,FELONY
MP20007065,"Mar 8, 2020, 12:55:56 AM","Mar 8, 2020, 12:55:56 AM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: MISD 04 Aggravated Assault 1474,1812 GALAS CT,MODESTO,CALIFORNIA,95358,-121.0205269,37.60263003,1,1,0,,FELONY
MP20007041,"Mar 7, 2020, 5:56:17 PM","Mar 7, 2020, 5:56:17 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,327 LINDEN ST,MODESTO,CALIFORNIA,95351,-121.0116439,37.64048165,0,0,0,,FELONY
MP20006840,"Mar 6, 2020, 3:13:00 AM","Mar 5, 2020, 10:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1727 ROBERTSON RD,MO,,95351,-121.0178839,37.61386856,0,0,0,,FELONY
MP20006847,"Mar 6, 2020, 6:16:00 AM","Mar 6, 2020, 4:23:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,3013 WYATT WAY,MO,,95350,-121.0293035,37.68267806,0,0,0,,FELONY
MP20006857,"Mar 6, 2020, 8:07:00 AM","Mar 6, 2020, 2:00:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,223 HIGH ST,MO,,95354,-120.9881622,37.64817085,0,0,0,,FELONY
MP20006912,"Mar 6, 2020, 2:25:00 PM","Mar 5, 2020, 5:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2825 YOSEMITE BLVD,MO,,,-120.9410507,37.63856559,0,0,0,,FELONY
MP20006943,"Mar 6, 2020, 8:14:00 PM","Mar 5, 2020, 12:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,620 PARADISE RD,MO,,,-121.014725,37.62499537,0,0,0,,FELONY
MP20006950,"Mar 6, 2020, 8:20:00 PM","Mar 5, 2020, 6:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1241 MC HENRY AVE,MO,,,-120.9942904,37.66176917,0,0,0,,FELONY
MP20006987,"Mar 7, 2020, 6:55:00 AM","Mar 6, 2020, 6:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1820 NORMAN WAY,MO,,95350,-121.017178,37.67185031,0,0,0,,FELONY
MP20006992,"Mar 7, 2020, 7:39:00 AM","Mar 6, 2020, 4:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,116 COVENA AVE,MO,,,-120.9717037,37.63888933,0,0,0,,FELONY
MP20006996,"Mar 7, 2020, 9:06:00 AM","Mar 6, 2020, 11:30:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1000 PINE TREE LN,MO,,95351,-121.0223382,37.6166317,0,0,0,,FELONY
MP20007002,"Mar 7, 2020, 10:53:00 AM","Mar 7, 2020, 4:55:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,721 WADDELL WAY,MO,,95357,-120.9237495,37.64967516,0,0,0,,FELONY
MP20007031,"Mar 7, 2020, 4:23:00 PM","Mar 7, 2020, 1:00:00 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,515 SEMPLE ST,MO,,95354,-120.9906746,37.65151308,0,0,0,,FELONY
MP20007031,"Mar 7, 2020, 4:23:00 PM","Mar 7, 2020, 1:00:00 PM",451 (D) PC,451 (D) PC ARSON:PROPERTY 08 Arson 2137,515 SEMPLE ST,MO,,95354,-120.9906746,37.65151308,0,0,0,,FELONY
MP20007085,"Mar 8, 2020, 9:13:00 AM","Mar 7, 2020, 11:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1428 ROSE AVE,MODESTO,CALIFORNIA,95355,-120.9663876,37.66413946,0,0,0,,FELONY
MP20007072,"Mar 8, 2020, 1:53:22 AM","Mar 8, 2020, 1:53:22 AM",487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284,150 E ORANGEBURG AVE,MODESTO,CALIFORNIA,95350,-120.9920359,37.66319541,0,0,0,,FELONY
